name,description,price,category,images,link
HYALU B5 PURE HYALURONIC ACID SERUM,"This anti-aging ultra hydrating pure hyaluronic acid face and neck serum leaves skin feeling plump to the touch and helps repair skin by replenishing the natural moisture barrier. This serum combines concentrated pure hyaluronic acid, madecassoside and vitamin B5 for optimal effectiveness while also being suitable for sensitive skin.",70000,face wash,,https://www.laroche-posay.us/our-products/anti-aging/anti-aging-serum/hyalu-b5-pure-hyaluronic-acid-serum-hyaluB5serum.html#tab=description
,,,,https://www.laroche-posay.us/dw/image/v2/AANG_PRD/on/demandware.static/-/Sites-acd-laroche-posay-master-catalog/default/dw4417c2fe/img/hyaluB5serum/la-roche-posay-hyalu-b5-pure-hyaluronic-acid-serum-3337875583626-1.jpg?sw=465&sfrm=jpg&q=70,
,,,,https://www.laroche-posay.us/dw/image/v2/AANG_PRD/on/demandware.static/-/Sites-acd-laroche-posay-master-catalog/default/dw03cffc5b/img/hyaluB5serum/la-roche-posay-hyalu-b5-pure-hyaluronic-acid-serum-3337875583626-2.jpg?sw=465&sfrm=jpg&q=70,
,,,,https://www.laroche-posay.us/dw/image/v2/AANG_PRD/on/demandware.static/-/Sites-acd-laroche-posay-master-catalog/default/dw708ee1d5/img/hyaluB5serum/la-roche-posay-hyalu-b5-pure-hyaluronic-acid-serum-3337875583626-5.jpg?sw=465&sfrm=jpg&q=70,
,,,,https://www.laroche-posay.us/dw/image/v2/AANG_PRD/on/demandware.static/-/Sites-acd-laroche-posay-master-catalog/default/dwacaa15cb/img/hyaluB5serum/la-roche-posay-hyalu-b5-pure-hyaluronic-acid-serum-3337875583626-6.jpg?sw=465&sfrm=jpg&q=70,
TOLERIANE DOUBLE REPAIR FACE MOISTURIZER,"Toleriane Double Repair Face Moisturizer is formulated with dermatologist-recommended ingredients including ceramide-3, niacinamide, glycerin and La Roche-Posay Prebiotic Thermal Water. Double action helps repair skin’s natural protective barrier after 1-hour and provide up to 48-hour hydration. Its lightweight cream texture easily absorbs into the skin to provide immediate comfort. Suitable for all skin types, including sensitive. This face moisturizer helps restore healthy-looking skin.",60000,face wash,,https://www.laroche-posay.us/our-products/face/face-moisturizer/toleriane-double-repair-face-moisturizer-3337875545792.html#tab=description
,,,,https://www.laroche-posay.us/dw/image/v2/AANG_PRD/on/demandware.static/-/Sites-acd-laroche-posay-master-catalog/default/dwe60cebd2/img/3337875545792/la-roche-posay-toleriane-double-repair-face-moisturizer-3337875545792-1.jpg?sw=465&sfrm=jpg&q=70,
,,,,https://www.laroche-posay.us/dw/image/v2/AANG_PRD/on/demandware.static/-/Sites-acd-laroche-posay-master-catalog/default/dw8c34860d/img/3337875545792/la-roche-posay-toleriane-double-repair-face-moisturizer-3337875545792-NEW.jpg?sw=465&sfrm=jpg&q=70,
,,,,https://www.laroche-posay.us/dw/image/v2/AANG_PRD/on/demandware.static/-/Sites-acd-laroche-posay-master-catalog/default/dwaad30fd2/img/3337875545792/la-roche-posay-toleriane-double-repair-face-moisturizer-3337875545792-3.jpg?sw=465&sfrm=jpg&q=70,
,,,,https://www.laroche-posay.us/dw/image/v2/AANG_PRD/on/demandware.static/-/Sites-acd-laroche-posay-master-catalog/default/dw255d1382/img/3337875545792/la-roche-posay-toleriane-double-repair-face-moisturizer-3337875545792-5.jpg?sw=465&sfrm=jpg&q=70,
ANTHELIOS MINERAL TINTED SUNSCREEN FOR FACE SPF 50,This lightweight 100% mineral tinted face sunscreen with titanium dioxide was developed for sensitive skin. The fast-absorbing texture leaves a tinted matte finish on skin for a healthy glow. It is formulated with Cell-Ox Shield® technology: broad spectrum UVA/UVB protection with antioxidants.,50000,face sunscreen,,https://www.laroche-posay.us/our-products/sun/tinted-sunscreen/anthelios-mineral-tinted-sunscreen-for-face-spf-50-883140020899.html#tab=description
,,,,https://www.laroche-posay.us/dw/image/v2/AANG_PRD/on/demandware.static/-/Sites-acd-laroche-posay-master-catalog/default/dw35e1c102/img/883140020899/anthelios-mineral-tinted-sunscreen-for-face-spf50-883140020899-1.jpg?sw=465&sfrm=jpg&q=70,
,,,,https://www.laroche-posay.us/dw/image/v2/AANG_PRD/on/demandware.static/-/Sites-acd-laroche-posay-master-catalog/default/dw6f64b3b2/img/883140020899/anthelios-mineral-tinted-sunscreen-for-face-spf50-883140020899-2.jpg?sw=465&sfrm=jpg&q=70,
,,,,https://www.laroche-posay.us/dw/image/v2/AANG_PRD/on/demandware.static/-/Sites-acd-laroche-posay-master-catalog/default/dw5996fb00/img/883140020899/anthelios-mineral-tinted-sunscreen-for-face-spf50-883140020899-3.jpg?sw=465&sfrm=jpg&q=70,
,,,,https://www.laroche-posay.us/dw/image/v2/AANG_PRD/on/demandware.static/-/Sites-acd-laroche-posay-master-catalog/default/dw767e1f10/img/883140020899/anthelios-mineral-tinted-sunscreen-for-face-spf50-883140020899-5.jpg?sw=465&sfrm=jpg&q=70,
LIPIKAR BALM AP+ BODY MOISTURIZER 2-PACK,"This body cream moisturizer for dry skin to extra dry skin features a unique prebiotic action on the skin microbiome. It is clinically shown to reduce dry, rough skin and provide daily relief and 48 hour hydration. Accepted by the National Eczema Association. Suitable for babies as young as two weeks. From the #1 Body Care Brand in European Pharmacies*.",60000,dry skin,,https://www.laroche-posay.us/our-products/dry-skin-eczema/body-lotion/lipikar-balm-ap--body-moisturizer-2-pack-lipikarbalmapset.html#tab=description
,,,,https://www.laroche-posay.us/dw/image/v2/AANG_PRD/on/demandware.static/-/Sites-acd-laroche-posay-master-catalog/default/dwe448654a/img/lipikarbalmapset/la-roche-posay-lipikar-balm-bundle-set-lipikarbalmapset.jpg?sw=465&sfrm=jpg&q=70,
,,,,https://www.laroche-posay.us/dw/image/v2/AANG_PRD/on/demandware.static/-/Sites-acd-laroche-posay-master-catalog/default/dwde34a98a/img/lipikarbalmapset/lipikar-balm-ap-body-cream-3337872418570-2.jpg?sw=465&sfrm=jpg&q=70,
,,,,https://www.laroche-posay.us/dw/image/v2/AANG_PRD/on/demandware.static/-/Sites-acd-laroche-posay-master-catalog/default/dw1d816fa1/img/lipikarbalmapset/lipikar-balm-ap-body-cream-3337872418570-6.jpg?sw=465&sfrm=jpg&q=70,
,,,,https://www.laroche-posay.us/dw/image/v2/AANG_PRD/on/demandware.static/-/Sites-acd-laroche-posay-master-catalog/default/dw239f3659/img/lipikarbalmapset/lipikar-balm-ap-body-cream-3337872418570-5.jpg?sw=465&sfrm=jpg&q=70,
ANTHELIOS AOX ANTIOXIDANT SERUM WITH SPF 50 SUNSCREEN,"This innovative serum provides advanced protection to help visibly improve the appearance of fine lines, dark spots, and skin texture. Our unique serum texture feels weightless on skin and can be worn alone, with a moisturizer, or under make-up. It is formulated with Cell-Ox Shield® Technology and a potent antioxidant complex.",50000,face sunscreen,,https://www.laroche-posay.us/our-products/sun/face-sunscreen/anthelios-aox-antioxidant-serum-with-spf-50-sunscreen-3606000403703.html#tab=description
,,,,https://www.laroche-posay.us/dw/image/v2/AANG_PRD/on/demandware.static/-/Sites-acd-laroche-posay-master-catalog/default/dw0ec19573/img/3606000403703/la-roche-posay-anthelios-antioxidant-serum-with-spf-3606000403703-1.jpg?sw=465&sfrm=jpg&q=70,
,,,,https://www.laroche-posay.us/dw/image/v2/AANG_PRD/on/demandware.static/-/Sites-acd-laroche-posay-master-catalog/default/dwf7a84e49/img/3606000403703/la-roche-posay-anthelios-antioxidant-serum-with-spf-3606000403703-3.jpg?sw=465&sfrm=jpg&q=70,
,,,,https://www.laroche-posay.us/dw/image/v2/AANG_PRD/on/demandware.static/-/Sites-acd-laroche-posay-master-catalog/default/dw65e72064/img/3606000403703/la-roche-posay-anthelios-antioxidant-serum-with-spf-3606000403703-5.jpg?sw=465&sfrm=jpg&q=70,
,,,,https://www.laroche-posay.us/dw/image/v2/AANG_PRD/on/demandware.static/-/Sites-acd-laroche-posay-master-catalog/default/dwea218164/img/3606000403703/la-roche-posay-anthelios-antioxidant-serum-with-spf-3606000403703-2.jpg?sw=465&sfrm=jpg&q=70,
CICAPLAST BAUME B5 FOR DRY SKIN IRRITATIONS,"This multi-purpose soothing cream for cracked, chapped, chafed skin and dry skin irritations helps to hydrate and soothe. Non-greasy, skin protectant helps to protect & relieve dry, rough skin. Hydrating therapeutic cream protects chafed skin due to diaper rash and helps seal out wetness, while helping to treat & prevent diaper rash. Suitable for adults, children and babies 1 week and up.",80000,dry skin,,https://www.laroche-posay.us/our-products/dry-skin-eczema/body-lotion/cicaplast-baume-b5-for-dry-skin-irritations-3606000437449.html#tab=description
,,,,https://www.laroche-posay.us/dw/image/v2/AANG_PRD/on/demandware.static/-/Sites-acd-laroche-posay-master-catalog/default/dw40d31888/img/3606000437449/la-roche-posay-cicaplast-soothing-balm-dry-skin-irritations-3606000437449-1.jpg?sw=465&sfrm=jpg&q=70,
,,,,https://www.laroche-posay.us/dw/image/v2/AANG_PRD/on/demandware.static/-/Sites-acd-laroche-posay-master-catalog/default/dwe9eed152/img/3606000437449/la-roche-posay-cicaplast-soothing-balm-dry-skin-irritations-3606000437449-2.jpg?sw=465&sfrm=jpg&q=70,
,,,,https://www.laroche-posay.us/dw/image/v2/AANG_PRD/on/demandware.static/-/Sites-acd-laroche-posay-master-catalog/default/dw3b86abbe/img/3606000437449/la-roche-posay-cicaplast-soothing-balm-dry-skin-irritations-3606000437449-3.jpg?sw=465&sfrm=jpg&q=70,
,,,,https://www.laroche-posay.us/dw/image/v2/AANG_PRD/on/demandware.static/-/Sites-acd-laroche-posay-master-catalog/default/dwef12d068/img/3606000437449/la-roche-posay-cicaplast-soothing-balm-dry-skin-irritations-3606000437449-5.jpg?sw=465&sfrm=jpg&q=70,